base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,Profit_Diff
0.1,0.05,500,15,1.1,Sideways,6.92,-4.99,36,15.22,11.91
0.1,0.05,750,15,1.1,Sideways,6.92,-4.99,36,15.22,11.91
0.3,0.2,1000,15,1.0,Sideways,6.8,-4.99,36,0.83,11.79
0.3,0.2,500,15,1.0,Sideways,6.8,-4.99,36,0.83,11.79
0.3,0.02,1000,15,1.2,Sideways,6.53,-4.99,36,72.81,11.52
0.3,0.02,500,15,1.2,Sideways,6.53,-4.99,36,72.81,11.52
0.2,0.1,500,15,1.0,Sideways,6.43,-4.99,36,3.72,11.42
0.2,0.1,750,15,1.0,Sideways,6.43,-4.99,36,3.72,11.42
0.1,0.02,750,15,1.0,Sideways,6.1,-4.99,36,73.17,11.09
0.1,0.02,500,15,1.0,Sideways,6.1,-4.99,36,73.17,11.09
0.2,0.02,500,15,1.0,Sideways,5.92,-4.99,36,73.17,10.91
0.2,0.02,750,15,1.0,Sideways,5.92,-4.99,36,73.17,10.91
0.3,0.02,500,15,1.0,Sideways,4.47,-4.99,36,73.14,9.46
0.3,0.02,1000,15,1.0,Sideways,4.47,-4.99,36,73.14,9.46
0.3,0.02,750,15,1.0,Sideways,4.47,-4.99,36,73.14,9.46
0.2,0.2,500,15,1.2,Sideways,4.29,-4.99,36,0.83,9.280000000000001
0.2,0.2,750,15,1.2,Sideways,4.29,-4.99,36,0.83,9.280000000000001
0.1,0.1,500,15,1.2,Sideways,3.95,-4.99,36,3.72,8.940000000000001
0.2,0.2,500,15,1.1,Sideways,3.9,-4.99,36,0.83,8.89
0.4,0.02,750,15,1.2,Sideways,3.55,-4.99,36,72.03,8.54
0.2,0.2,500,15,1.0,Sideways,3.52,-4.99,36,0.83,8.51
0.2,0.2,750,15,1.0,Sideways,3.52,-4.99,36,0.83,8.51
0.2,0.2,1000,15,1.0,Sideways,3.52,-4.99,36,0.83,8.51
